"Level,Word,Meaning"
"最頻出(Rank A),eighteen,18"
"最頻出(Rank A),nineteen,19"
"最頻出(Rank A),twenty,20"
"最頻出(Rank A),thirty,30"
"最頻出(Rank A),forty,40"
"最頻出(Rank A),fifty,50"
"最頻出(Rank A),hundred,100"
"最頻出(Rank A),first,第1の"
"最頻出(Rank A),second,第2の"
"最頻出(Rank A),third,第3の"
"最頻出(Rank A),good,良い"
"最頻出(Rank A),bad,悪い"
"最頻出(Rank A),big,大きい"
"最頻出(Rank A),small,小さい"
"最頻出(Rank A),new,新しい"
"最頻出(Rank A),old,古い"
"最頻出(Rank A),long,長い"
"最頻出(Rank A),short,短い"
"最頻出(Rank A),high,高い"
"最頻出(Rank A),low,低い"
"最頻出(Rank A),hot,暑い"
"最頻出(Rank A),cold,寒い"
"最頻出(Rank A),happy,幸せな"
"最頻出(Rank A),sad,悲しい"
"最頻出(Rank A),busy,忙しい"
"最頻出(Rank A),free,暇な・自由な"
"最頻出(Rank A),early,早い"
"最頻出(Rank A),late,遅い"
"最頻出(Rank A),many,たくさんの"
"最頻出(Rank A),much,たくさんの（量）"
"最頻出(Rank A),little,少しの・小さい"
"最頻出(Rank A),some,いくつかの"
"最頻出(Rank A),any,いくつかの（疑問・否定）"
"最頻出(Rank A),all,すべての"
"最頻出(Rank A),every,毎～・すべての"
"最頻出(Rank A),very,とても"
"最頻出(Rank A),well,上手に・健康で"
"最頻出(Rank A),fast,速く"
"最頻出(Rank A),slowly,ゆっくりと"
"最頻出(Rank A),always,いつも"
"最頻出(Rank A),usually,たいてい"
"最頻出(Rank A),often,しばしば"
"最頻出(Rank A),sometimes,ときどき"
"最頻出(Rank A),now,今"
"最頻出(Rank A),then,そのとき・それから"
"最頻出(Rank A),here,ここ"
"最頻出(Rank A),there,そこ"
"最頻出(Rank A),together,一緒に"
"最頻出(Rank A),again,また"
"最頻出(Rank A),too,～もまた・あまりに～すぎる"
"最頻出(Rank A),and,と"
"最頻出(Rank A),but,しかし"
"最頻出(Rank A),or,または"
"最頻出(Rank A),so,だから・そんなに"
"最頻出(Rank A),because,なぜなら"
"最頻出(Rank A),can,～できる"
"最頻出(Rank A),will,～でしょう・～するつもりだ"
"最頻出(Rank A),must,～しなければならない"
"最頻出(Rank A),may,～してもよい"
"最頻出(Rank A),in,～の中に"
"最頻出(Rank A),on,～の上に"
"最頻出(Rank A),at,～で（地点）"
"最頻出(Rank A),to,～へ"
"最頻出(Rank A),for,～のために"
"最頻出(Rank A),with,～と一緒に"
"最頻出(Rank A),by,～によって・～のそばに"
"最頻出(Rank A),from,～から"
"最頻出(Rank A),of,～の"
"最頻出(Rank A),about,～について"
"最頻出(Rank A),before,～の前に"
"最頻出(Rank A),after,～の後に"
"最頻出(Rank A),between,（2つの）間に"
"最頻出(Rank A),under,～の下に"
"最頻出(Rank A),near,～の近くに"
"最頻出(Rank A),a,1つの"
"最頻出(Rank A),the,その"
"頻出(Rank B),visit,訪れる"
"頻出(Rank B),stay,滞在する"
"頻出(Rank B),enjoy,楽しむ"
"頻出(Rank B),learn,学ぶ"
"頻出(Rank B),teach,教える"
"頻出(Rank B),remember,覚えている"
"頻出(Rank B),forget,忘れる"
"頻出(Rank B),believe,信じる"
"頻出(Rank B),hope,望む"
"頻出(Rank B),wish,願う"
"頻出(Rank B),try,試す・努力する"
"頻出(Rank B),bring,持ってくる"
"頻出(Rank B),carry,運ぶ"
"頻出(Rank B),keep,保つ・飼う"
"頻出(Rank B),leave,去る・出発する・残す"
"頻出(Rank B),become,～になる"
"頻出(Rank B),happen,起こる"
"頻出(Rank B),feel,感じる"
"頻出(Rank B),decide,決める"
"頻出(Rank B),worry,心配する"
"頻出(Rank B),invite,招待する"
"頻出(Rank B),answer,答える"
"頻出(Rank B),borrow,借りる"
"頻出(Rank B),lend,貸す"
"頻出(Rank B),mean,意味する"
"頻出(Rank B),understand,理解する"
"頻出(Rank B),laugh,笑う"
"頻出(Rank B),smile,微笑む"
"頻出(Rank B),cry,泣く"
"頻出(Rank B),swim,泳ぐ"
"頻出(Rank B),climb,登る"
"頻出(Rank B),sing,歌う"
"頻出(Rank B),dance,踊る"
"頻出(Rank B),cook,料理する"
"頻出(Rank B),clean,掃除する"
"頻出(Rank B),wash,洗う"
"頻出(Rank B),paint,塗る・描く"
"頻出(Rank B),draw,描く"
"頻出(Rank B),build,建てる"
"頻出(Rank B),sell,売る"
"頻出(Rank B),send,送る"
"頻出(Rank B),show,見せる"
"頻出(Rank B),catch,捕まえる"
"頻出(Rank B),hold,持つ・開催する"
"頻出(Rank B),library,図書館"
"頻出(Rank B),park,公園"
"頻出(Rank B),hospital,病院"
"頻出(Rank B),station,駅"
"頻出(Rank B),airport,空港"
"頻出(Rank B),store,店"
"頻出(Rank B),shop,店・買い物をする"
"頻出(Rank B),restaurant,レストラン"
"頻出(Rank B),museum,博物館・美術館"
"頻出(Rank B),zoo,動物園"
"頻出(Rank B),bank,銀行"
"頻出(Rank B),post office,郵便局"
"頻出(Rank B),city,都市"
"頻出(Rank B),town,町"
"頻出(Rank B),village,村"
"頻出(Rank B),country,国・田舎"
"頻出(Rank B),world,世界"
"頻出(Rank B),island,島"
"頻出(Rank B),mountain,山"
"頻出(Rank B),river,川"
"頻出(Rank B),lake,湖"
"頻出(Rank B),sea,海"
"頻出(Rank B),beach,浜辺"
"頻出(Rank B),nature,自然"
"頻出(Rank B),earth,地球"
"頻出(Rank B),sky,空"
"頻出(Rank B),sun,太陽"
"頻出(Rank B),moon,月"
"頻出(Rank B),star,星"
"頻出(Rank B),weather,天気"
"頻出(Rank B),rain,雨"
"頻出(Rank B),snow,雪"
"頻出(Rank B),wind,風"
"頻出(Rank B),cloud,雲"
"頻出(Rank B),sunny,晴れた"
"頻出(Rank B),rainy,雨の"
"頻出(Rank B),cloudy,曇った"
"頻出(Rank B),snowy,雪の"
"頻出(Rank B),food,食べ物"
"頻出(Rank B),breakfast,朝食"
"頻出(Rank B),lunch,昼食"
"頻出(Rank B),dinner,夕食"
"頻出(Rank B),vegetable,野菜"
"頻出(Rank B),fruit,果物"
"頻出(Rank B),rice,米・ごはん"
"頻出(Rank B),bread,パン"
"頻出(Rank B),milk,牛乳"
"頻出(Rank B),water,水"
"頻出(Rank B),tea,茶"
"頻出(Rank B),coffee,コーヒー"
"頻出(Rank B),cake,ケーキ"
"頻出(Rank B),egg,卵"
"頻出(Rank B),meat,肉"
"頻出(Rank B),fish,魚"
"頻出(Rank B),apple,リンゴ"
"頻出(Rank B),orange,オレンジ"
"頻出(Rank B),hobby,趣味"
"頻出(Rank B),music,音楽"
"頻出(Rank B),song,歌"
"頻出(Rank B),sport,スポーツ"
"頻出(Rank B),game,試合・ゲーム"
"頻出(Rank B),soccer,サッカー"
"頻出(Rank B),baseball,野球"
"頻出(Rank B),tennis,テニス"
"頻出(Rank B),basketball,バスケットボール"
"頻出(Rank B),piano,ピアノ"
"頻出(Rank B),guitar,ギター"
"頻出(Rank B),violin,バイオリン"
"頻出(Rank B),animal,動物"
"頻出(Rank B),dog,犬"
"頻出(Rank B),cat,猫"
"頻出(Rank B),bird,鳥"
"頻出(Rank B),rabbit,ウサギ"
"頻出(Rank B),horse,馬"
"頻出(Rank B),bear,クマ"
"頻出(Rank B),lion,ライオン"
"頻出(Rank B),elephant,ゾウ"
"頻出(Rank B),monkey,サル"
"頻出(Rank B),body,体"
"頻出(Rank B),head,頭"
"頻出(Rank B),face,顔"
"頻出(Rank B),eye,目"
"頻出(Rank B),ear,耳"
"頻出(Rank B),nose,鼻"
"頻出(Rank B),mouth,口"
"頻出(Rank B),hand,手"
"頻出(Rank B),arm,腕"
"頻出(Rank B),leg,脚"
"頻出(Rank B),foot,足"
"頻出(Rank B),hair,髪"
"頻出(Rank B),finger,指"
"頻出(Rank B),heart,心・心臓"
"頻出(Rank B),clothes,服"
"頻出(Rank B),shirt,シャツ"
"頻出(Rank B),pants,ズボン"
"頻出(Rank B),dress,ドレス"
"頻出(Rank B),coat,コート"
"頻出(Rank B),hat,帽子"
"頻出(Rank B),shoe,靴"
"頻出(Rank B),bag,かばん"
"頻出(Rank B),watch,時計・見る"
"頻出(Rank B),glasses,眼鏡"
"頻出(Rank B),car,車"
"頻出(Rank B),bus,バス"
"頻出(Rank B),train,列車"
"頻出(Rank B),bike,自転車"
"頻出(Rank B),plane,飛行機"
"頻出(Rank B),boat,ボート"
"頻出(Rank B),ship,船"
"頻出(Rank B),taxi,タクシー"
"頻出(Rank B),computer,コンピューター"
"頻出(Rank B),phone,電話"
"頻出(Rank B),camera,カメラ"
"頻出(Rank B),radio,ラジオ"
"頻出(Rank B),television,テレビ"
"頻出(Rank B),beautiful,美しい"
"頻出(Rank B),famous,有名な"
"頻出(Rank B),popular,人気のある"
"頻出(Rank B),favorite,お気に入りの"
"頻出(Rank B),easy,簡単な"
"頻出(Rank B),difficult,難しい"
"頻出(Rank B),kind,親切な・種類"
"頻出(Rank B),strong,強い"
"頻出(Rank B),weak,弱い"
"頻出(Rank B),fast,速い"
"頻出(Rank B),slow,遅い"
"頻出(Rank B),loud,うるさい"
"頻出(Rank B),quiet,静かな"
"頻出(Rank B),rich,豊かな・金持ちの"
"頻出(Rank B),poor,貧しい・下手な"
"頻出(Rank B),healthy,健康な"
"頻出(Rank B),sick,病気の"
"頻出(Rank B),hungry,空腹の"
"頻出(Rank B),thirsty,のどが渇いた"
"頻出(Rank B),heavy,重い"
"頻出(Rank B),light,軽い・光"
"頻出(Rank B),full,いっぱいの"
"頻出(Rank B),empty,空の"
"頻出(Rank B),clean,きれいな"
"頻出(Rank B),dirty,汚い"
"頻出(Rank B),safe,安全な"
"頻出(Rank B),dangerous,危険な"
"頻出(Rank B),important,大切な"
"頻出(Rank B),useful,役に立つ"
"頻出(Rank B),special,特別な"
"頻出(Rank B),natural,自然の"
"頻出(Rank B),real,本当の"
"頻出(Rank B),true,真実の"
"頻出(Rank B),false,誤った"
"頻出(Rank B),interesting,興味深い"
"頻出(Rank B),excited,興奮した"
"頻出(Rank B),surprised,驚いた"
"頻出(Rank B),already,すでに"
"頻出(Rank B),still,まだ"
"頻出(Rank B),yet,（疑問で）もう・（否定で）まだ"
"頻出(Rank B),only,～だけ"
"頻出(Rank B),just,ちょうど"
"頻出(Rank B),even,～でさえ"
"頻出(Rank B),away,離れて"
"頻出(Rank B),back,後ろへ・背中"
"頻出(Rank B),maybe,たぶん"
"頻出(Rank B),perhaps,ひょっとすると"
"頻出(Rank B),if,もし～なら"
"頻出(Rank B),while,～する間に"
"頻出(Rank B),than,～よりも"
"頻出(Rank B),since,～以来"
"頻出(Rank B),until,～までずっと"
"頻出(Rank B),without,～なしで"
"頻出(Rank B),during,～の間中"
"頻出(Rank B),through,～を通して"
"よく出る(Rank C),arrive,到着する"
"よく出る(Rank C),borrow,借りる"
"よく出る(Rank C),choose,選ぶ"
"よく出る(Rank C),collect,集める"
"よく出る(Rank C),compare,比べる"
"よく出る(Rank C),continue,続ける"
"よく出る(Rank C),cover,覆う"
"よく出る(Rank C),design,設計する"
"よく出る(Rank C),discover,発見する"
"よく出る(Rank C),drop,落とす"
"よく出る(Rank C),earn,稼ぐ"
"よく出る(Rank C),explain,説明する"
"よく出る(Rank C),follow,従う"
"よく出る(Rank C),grow,育つ"
"よく出る(Rank C),guide,案内する"
"よく出る(Rank C),imagine,想像する"
"よく出る(Rank C),improve,上達させる"
"よく出る(Rank C),increase,増える"
"よく出る(Rank C),introduce,紹介する"
"よく出る(Rank C),invent,発明する"
"よく出る(Rank C),join,参加する"
"よく出る(Rank C),kill,殺す"
"よく出る(Rank C),knock,ノックする"
"よく出る(Rank C),lift,持ち上げる"
"よく出る(Rank C),lose,失う"
"よく出る(Rank C),manage,管理する"
"よく出る(Rank C),marry,結婚する"
"よく出る(Rank C),match,一致する"
"よく出る(Rank C),measure,測る"
"よく出る(Rank C),miss,逃す・寂しく思う"
"よく出る(Rank C),move,動く・引っ越す"
"よく出る(Rank C),notice,気づく"
"よく出る(Rank C),offer,提供する"
"よく出る(Rank C),order,注文する"
"よく出る(Rank C),pass,通る・渡す"
"よく出る(Rank C),perform,演奏する"
"よく出る(Rank C),prepare,準備する"
"よく出る(Rank C),prevent,防ぐ"
"よく出る(Rank C),produce,生産する"
"よく出る(Rank C),promise,約束する"
"よく出る(Rank C),protect,守る"
"よく出る(Rank C),provide,提供する"
"よく出る(Rank C),pull,引く"
"よく出る(Rank C),push,押す"
"よく出る(Rank C),receive,受け取る"
"よく出る(Rank C),reduce,減らす"
"よく出る(Rank C),refuse,断る"
"よく出る(Rank C),relax,くつろぐ"
"よく出る(Rank C),repeat,繰り返す"
"よく出る(Rank C),report,報告する"
"よく出る(Rank C),rescue,救助する"
"よく出る(Rank C),respect,尊敬する"
"よく出る(Rank C),return,戻る"
"よく出る(Rank C),ride,乗る"
"よく出る(Rank C),rise,上がる"
"よく出る(Rank C),save,救う・蓄える"
"よく出る(Rank C),search,探す"
"よく出る(Rank C),serve,役立つ"
"よく出る(Rank C),shake,振る"
"よく出る(Rank C),shout,叫ぶ"
"よく出る(Rank C),solve,解決する"
"よく出る(Rank C),sound,～に聞こえる・音"
"よく出る(Rank C),spend,費やす"
"よく出る(Rank C),spread,広がる"
"よく出る(Rank C),suggest,提案する"
"よく出る(Rank C),support,支持する"
"よく出る(Rank C),taste,味がする・味"
"よく出る(Rank C),travel,旅行する"
"よく出る(Rank C),treat,扱う"
"よく出る(Rank C),trust,信頼する"
"よく出る(Rank C),waste,無駄にする"
"よく出る(Rank C),wonder,～かなと思う"
"よく出る(Rank C),activity,活動"
"よく出る(Rank C),address,住所"
"よく出る(Rank C),advice,忠告"
"よく出る(Rank C),amount,量"
"よく出る(Rank C),area,地域"
"よく出る(Rank C),art,芸術"
"よく出る(Rank C),article,記事"
"よく出る(Rank C),attention,注意"
"よく出る(Rank C),audience,聴衆"
"よく出る(Rank C),author,著者"
"よく出る(Rank C),bill,請求書"
"よく出る(Rank C),bridge,橋"
"よく出る(Rank C),business,ビジネス"
"よく出る(Rank C),capital,首都"
"よく出る(Rank C),care,世話"
"よく出る(Rank C),case,場合"
"よく出る(Rank C),center,中心"
"よく出る(Rank C),century,世紀"
"よく出る(Rank C),chance,機会"
"よく出る(Rank C),character,性格・文字"
"よく出る(Rank C),choice,選択"
"よく出る(Rank C),church,教会"
"よく出る(Rank C),climate,気候"
"よく出る(Rank C),collection,収集"
"よく出る(Rank C),college,大学"
"よく出る(Rank C),common,共通の"
"よく出る(Rank C),communication,通信"
"よく出る(Rank C),community,共同体"
"よく出る(Rank C),company,会社"
"よく出る(Rank C),condition,状態"
"よく出る(Rank C),contest,コンテスト"
"よく出る(Rank C),corner,角"
"よく出る(Rank C),cost,費用"
"よく出る(Rank C),culture,文化"
"よく出る(Rank C),custom,習慣"
"よく出る(Rank C),danger,危険"
"よく出る(Rank C),death,死"
"よく出る(Rank C),degree,度"
"よく出る(Rank C),department,部門"
"よく出る(Rank C),difference,違い"
"よく出る(Rank C),direction,方向"
"よく出る(Rank C),distance,距離"
"よく出る(Rank C),district,地区"
"よく出る(Rank C),duty,義務"
"よく出る(Rank C),education,教育"
"よく出る(Rank C),effect,効果"
"よく出る(Rank C),effort,努力"
"よく出る(Rank C),energy,エネルギー"
"よく出る(Rank C),environment,環境"
"よく出る(Rank C),event,出来事"
"よく出る(Rank C),example,例"
"よく出る(Rank C),experience,経験"
"よく出る(Rank C),fact,事実"
"よく出る(Rank C),fashion,流行"
"よく出る(Rank C),festival,祭り"
"よく出る(Rank C),field,分野・野原"
"よく出る(Rank C),forest,森"
"よく出る(Rank C),form,形"
"よく出る(Rank C),freedom,自由"
"よく出る(Rank C),fuel,燃料"
"よく出る(Rank C),future,未来"
"よく出る(Rank C),gift,贈り物"
"よく出る(Rank C),government,政府"
"よく出る(Rank C),graduate,卒業生"
"よく出る(Rank C),ground,地面"
"よく出る(Rank C),group,集団"
"よく出る(Rank C),guide,案内"
"よく出る(Rank C),habit,習慣"
"よく出る(Rank C),health,健康"
"よく出る(Rank C),history,歴史"
"よく出る(Rank C),holiday,休日"
"よく出る(Rank C),hope,希望"
"よく出る(Rank C),idea,考え"
"よく出る(Rank C),information,情報"
"よく出る(Rank C),interest,興味"
"よく出る(Rank C),international,国際的な"
"よく出る(Rank C),interview,面接"
"よく出る(Rank C),invention,発明"
"よく出る(Rank C),journey,旅行"
"よく出る(Rank C),joy,喜び"
"よく出る(Rank C),judge,裁判官"
"よく出る(Rank C),key,鍵"
"よく出る(Rank C),knowledge,知識"
"よく出る(Rank C),labor,労働"
"よく出る(Rank C),language,言語"
"よく出る(Rank C),law,法律"
"よく出る(Rank C),leader,指導者"
"よく出る(Rank C),lesson,レッスン"
"よく出る(Rank C),level,水準"
"よく出る(Rank C),list,名簿"
"よく出る(Rank C),literature,文学"
"よく出る(Rank C),luck,運"
"よく出る(Rank C),machine,機械"
"よく出る(Rank C),magazine,雑誌"
"よく出る(Rank C),manner,行儀"
"よく出る(Rank C),market,市場"
"よく出る(Rank C),meaning,意味"
"よく出る(Rank C),medicine,薬"
"よく出る(Rank C),member,会員"
"よく出る(Rank C),memory,記憶"
"よく出る(Rank C),message,伝言"
"よく出る(Rank C),method,方法"
"よく出る(Rank C),middle,真ん中"
"よく出る(Rank C),million,百万"
"よく出る(Rank C),mind,心"
"よく出る(Rank C),mistake,間違い"
"よく出る(Rank C),model,模型"
"よく出る(Rank C),moment,瞬間"
"よく出る(Rank C),money,金"
"よく出る(Rank C),movie,映画"
"よく出る(Rank C),neighborhood,近所"
"よく出る(Rank C),news,ニュース"
"よく出る(Rank C),noise,騒音"
"よく出る(Rank C),note,メモ"
"よく出る(Rank C),object,物体"
"よく出る(Rank C),office,事務所"
"よく出る(Rank C),opinion,意見"
"よく出る(Rank C),opportunity,機会"
"よく出る(Rank C),owner,持ち主"
"よく出る(Rank C),page,ページ"
"よく出る(Rank C),parent,親"
"よく出る(Rank C),part,部分"
"よく出る(Rank C),passenger,乗客"
"よく出る(Rank C),past,過去"
"よく出る(Rank C),peace,平和"
"よく出る(Rank C),period,期間"
"よく出る(Rank C),person,人"
"よく出る(Rank C),pet,ペット"
"よく出る(Rank C),picture,写真・絵"
"よく出る(Rank C),piece,断片"
"よく出る(Rank C),plan,計画"
"よく出る(Rank C),plant,植物・工場"
"よく出る(Rank C),pleasure,喜び"
"よく出る(Rank C),point,点"
"よく出る(Rank C),policy,政策"
"よく出る(Rank C),pollution,汚染"
"よく出る(Rank C),population,人口"
"よく出る(Rank C),position,位置"
"よく出る(Rank C),power,力"
"よく出る(Rank C),practice,練習"
"よく出る(Rank C),president,大統領"
"よく出る(Rank C),price,価格"
"よく出る(Rank C),problem,問題"
"よく出る(Rank C),program,番組・計画"
"よく出る(Rank C),project,事業"
"よく出る(Rank C),purpose,目的"
"よく出る(Rank C),quality,質"
"よく出る(Rank C),question,質問"
"よく出る(Rank C),race,競争・人種"
"よく出る(Rank C),reason,理由"
"よく出る(Rank C),record,記録"
"よく出る(Rank C),relationship,関係"
"よく出る(Rank C),result,結果"
"よく出る(Rank C),road,道路"
"よく出る(Rank C),role,役割"
"よく出る(Rank C),rule,規則"
"よく出る(Rank C),science,科学"
"よく出る(Rank C),season,季節"
"よく出る(Rank C),secret,秘密"
"よく出る(Rank C),service,奉仕"
"よく出る(Rank C),shape,形"
"よく出る(Rank C),sight,視力・光景"
"よく出る(Rank C),sign,記号・しるし"
"よく出る(Rank C),skill,技術"
"よく出る(Rank C),society,社会"
"よく出る(Rank C),solution,解決"
"よく出る(Rank C),space,空間・宇宙"
"よく出る(Rank C),speech,演説"
"よく出る(Rank C),stage,段階・舞台"
"よく出る(Rank C),step,歩み"
"よく出る(Rank C),story,物語"
"よく出る(Rank C),style,様式"
"よく出る(Rank C),success,成功"
"よく出る(Rank C),system,体系"
"よく出る(Rank C),technology,技術"
"よく出る(Rank C),term,期間・用語"
"よく出る(Rank C),topic,話題"
"よく出る(Rank C),tour,見学"
"よく出る(Rank C),traffic,交通"
"よく出る(Rank C),training,訓練"
"よく出る(Rank C),treasure,宝物"
"よく出る(Rank C),trip,旅行"
"よく出る(Rank C),trouble,心配"
"よく出る(Rank C),truth,真実"
"よく出る(Rank C),type,型"
"よく出る(Rank C),university,大学"
"よく出る(Rank C),vacation,休暇"
"よく出る(Rank C),value,価値"
"よく出る(Rank C),variety,変化"
"よく出る(Rank C),view,眺め"
"よく出る(Rank C),visitor,訪問者"
"よく出る(Rank C),voice,声"
"よく出る(Rank C),war,戦争"
"よく出る(Rank C),way,道・方法"
"よく出る(Rank C),wood,木材"
"よく出る(Rank C),word,言葉"
"よく出る(Rank C),youth,若さ"
"よく出る(Rank C),be good at,～が得意だ"
"よく出る(Rank C),look for,～を探す"
"よく出る(Rank C),take care of,～の世話をする"
"よく出る(Rank C),wait for,～を待つ"
"よく出る(Rank C),get up,起きる"
"よく出る(Rank C),sit down,座る"
"よく出る(Rank C),stand up,立ち上がる"
"よく出る(Rank C),all over,～の至る所で"
"よく出る(Rank C),a lot of,たくさんの"
"よく出る(Rank C),kind of,～の一種"
"よく出る(Rank C),next to,～の隣に"
"よく出る(Rank C),front of,～の前に"
"よく出る(Rank C),look forward to,～を楽しみに待つ"
"よく出る(Rank C),arrive at,～に到着する"
"よく出る(Rank C),pick up,～を拾う・車で迎えに行く"
"よく出る(Rank C),turn on,（電気を）つける"
"よく出る(Rank C),turn off,（電気を）消す"
"よく出る(Rank C),put on,～を身に着ける"
"よく出る(Rank C),take off,～を脱ぐ・離陸する"
"よく出る(Rank C),by the way,ところで"
"よく出る(Rank C),for example,例えば"
"よく出る(Rank C),of course,もちろん"
"よく出る(Rank C),be afraid of,～を恐れる"
"よく出る(Rank C),be surprised at,～に驚く"
"よく出る(Rank C),be interested in,～に興味がある"
"よく出る(Rank C),shake hands,握手する"
"よく出る(Rank C),far from,～から遠い"
"よく出る(Rank C),once more,もう一度"
"よく出る(Rank C),each other,お互いに"
"よく出る(Rank C),all day long,一日中"
